ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
_tsum_022.txt,ma_g2,bg_021,4,80%,4:bg_021,1:Ma_G2,,,,,,,,,,,,,,,
_mina_011_2.txt,ma_g3,Ma_G3,4,80%,4:Ma_G3,1:Ma_G2,,,,,,,,,,,,,,,
_tsum_019.txt,ma_g3_01,bg_022,11,55%,11:bg_022,6:Ma_G3,2:bg_020,1:bg_210,,,,,,,,,,,,,
onik_014_02.txt,ma_g3_02,bg_118,1,100%,1:bg_118,,,,,,,,,,,,,,,,
_tsum_022.txt,ma_j3,bg_080,8,53%,8:bg_080,2:bg_081,2:Ma_J3,1:bg_170,1:bg_082,1:Ma_J1,,,,,,,,,,,
_tsum_023_1.txt,ma_j3_01,bg_080,16,37%,16:bg_080,14:bg_082,11:bg_081,2:Ma_J1,,,,,,,,,,,,,
tata_009_02.txt,ma_j3_03,bg_082,-1,0%,,,,,,,,,,,,,,,,,
wata_003.txt,ma_j3_05,bg_081,3,50%,3:bg_081,2:bg_080,1:bg_082,,,,,,,,,,,,,,
_mina_011_2.txt,ma_s1,bg_170,37,51%,37:bg_170,28:bg_210,2:bg_116,2:Ma_S1,1:bg_080,1:bg_082,1:bg_115,,,,,,,,,,
_tsum_019.txt,ma_s1_01,Ma_S1,1,100%,1:Ma_S1,,,,,,,,,,,,,,,,
_mina_026.txt,mati12,Mati12,5,71%,5:Mati12,1:bg_131,1:bg_134,,,,,,,,,,,,,,
_mina_019.txt,mati2,bg_124,12,44%,12:bg_124,7:Mati2,4:Mati1,1:bg_123,1:bg_163,1:Hi6,1:Mati10,,,,,,,,,,
_mina_008.txt,mati2_01,Mati6,1,50%,1:Mati6,1:Mati4,,,,,,,,,,,,,,,
_mina_019.txt,mati3,Mati3,6,40%,6:Mati3,4:bg_125,3:bg_123,1:bg_127,1:Mati4,,,,,,,,,,,,
_mina_008.txt,mati3_01,Mati3,2,50%,2:Mati3,1:Mati1,1:Mati5,,,,,,,,,,,,,,
_mina_013.txt,mati4,Mati4,7,44%,7:Mati4,3:Mati1,2:bg_133,1:bg_126,1:bg_129,1:bg_123,1:Mati3,,,,,,,,,,
_mina_012.txt,mati4_01,Kouen,3,75%,3:Kouen,1:Mati4,,,,,,,,,,,,,,,
_mina_op.txt,mati7,bg_237,4,44%,4:bg_237,1:bg_168,1:bg_129,1:bg_135,1:Mati9,1:Mati7,,,,,,,,,,,
_mina_019.txt,mati_ji1,Mati_Ji2,6,46%,6:Mati_Ji2,6:Mati_Ji1,1:Mati_Ji3,,,,,,,,,,,,,,
_mina_008.txt,mati_o1,mati_O1,15,56%,15:mati_O1,8:bg_153,2:Mati5,1:Sora,1:mati_O6,,,,,,,,,,,,
_mina_008.txt,mati_o1_01,mati_O1,1,100%,1:mati_O1,,,,,,,,,,,,,,,,
_mina_008.txt,mati_o2,mati_O2,9,30%,9:mati_O2,7:bg_155,6:bg_154,3:mati_O3,2:mati_O5,2:mati_O4,1:bg_157,,,,,,,,,,
_mina_008.txt,mati_o4,mati_O5,22,38%,22:mati_O5,13:mati_O4,11:bg_156,9:bg_157,2:Jansou2,1:mati_O3,,,,,,,,,,,
wata_005.txt,mati_o6,bg_158,3,100%,3:bg_158,,,,,,,,,,,,,,,,
_mina_001.txt,mo1,bg_141,8,57%,8:bg_141,4:Mo1,1:bg_047,1:bg_181,,,,,,,,,,,,,
tata_011_02.txt,mo1_01,bg_141,6,86%,6:bg_141,1:bg_256,,,,,,,,,,,,,,,
hima_003_03.txt,mo1_02,bg_256,1,50%,1:bg_256,1:bg_141,,,,,,,,,,,,,,,
_mina_001.txt,mo2,bg_142,5,56%,5:bg_142,3:Mo2,1:Mo3,,,,,,,,,,,,,,
onik_015_02.txt,mo2_01,bg_142,2,100%,2:bg_142,,,,,,,,,,,,,,,,
hima_003_03.txt,mo2_02,bg_142,4,80%,4:bg_142,1:bg_144,,,,,,,,,,,,,,,
_mina_011_1.txt,mo3,Mo3,3,27%,3:Mo3,2:bg_142,2:bg_203,2:bg_143,1:Mo4,1:Mo6,,,,,,,,,,,
_tsum_010.txt,mo3_01,bg_143,2,50%,2:bg_143,1:bg_142,1:Mo3,,,,,,,,,,,,,,
hima_003_03.txt,mo3_02,bg_143,4,80%,4:bg_143,1:bg_144,,,,,,,,,,,,,,,
wata_012_03.txt,mo4,bg_144,1,100%,1:bg_144,,,,,,,,,,,,,,,,
onik_015_02.txt,mo4_01,bg_144,1,100%,1:bg_144,,,,,,,,,,,,,,,,
hima_003_03.txt,mo4_02,bg_144,4,100%,4:bg_144,,,,,,,,,,,,,,,,
hima_002.txt,mo_b1,bg_203,2,50%,2:bg_203,1:bg_092,1:bg_205,,,,,,,,,,,,,,
_tsum_018.txt,mo_g1,bg_023,4,67%,4:bg_023,1:bg_049,1:Mo_G1,,,,,,,,,,,,,,
_tsum_op.txt,mo_g1_01,Mo_G1,5,56%,5:Mo_G1,4:Mo_G4,,,,,,,,,,,,,,,
_tsum_010.txt,mo_g2,bg_024,2,67%,2:bg_024,1:Mo_G4,,,,,,,,,,,,,,,
onik_003.txt,mo_g2_01,bg_024,1,100%,1:bg_024,,,,,,,,,,,,,,,,
_tsum_008.txt,mo_g3_01,Mo_G4,2,67%,2:Mo_G4,1:Mo_G3,,,,,,,,,,,,,,,
_tsum_018.txt,mo_r1,Mo_R1,2,100%,2:Mo_R1,,,,,,,,,,,,,,,,
_tsum_010.txt,mo_r1_01,Mo_R1,3,75%,3:Mo_R1,1:Mo_R2,,,,,,,,,,,,,,,
_tsum_005.txt,mo_r1_02,Mo_R1,1,50%,1:Mo_R1,1:Mo_R2,,,,,,,,,,,,,,,
_tsum_020.txt,mo_r1_03,Mo_R1,2,50%,2:Mo_R1,1:Mo_YG1,1:Mo_YG4,,,,,,,,,,,,,,
_tsum_021.txt,mo_yg1,Mo_YG4,9,60%,9:Mo_YG4,6:Mo_YG1,,,,,,,,,,,,,,,
